,publisher,synopsis,language,image,title_long,edition,dimensions,pages,date_published,subjects,authors,title,isbn13,msrp,binding,isbn,isbn10,other_isbns,related
10,Penguin Books,"<p>""Thought-provoking and charming.""--<I>Library Journal</I> Not all Great Masters of Wisdom are venerable graybeards. One is as familiar to us as that beloved teddy bear Winnie the Pooh. From the ""how"" of Pooh to the Tao of Pooh is a simple, effortless, joyous step...a delicious journey to Pooh Corner illuminated by the timeless teachings of the Taoist immortals.</p> <h3>Library Journal</h3> <p>Author/narrator Hoff calls Winnie the Pooh a ``Western Taoist'' and uses the unassuming bear to introduce Eastern philosophical principles. Pooh epitomizes the ``uncarved block,'' as he is well in tune with his natural inner self. Pooh enjoys simple pleasures and the daily progress of life. Hoff contrasts this unpretentiousness to other characters created by Winnie - the - Pooh author A.A. Milne, including Owl, whom he describes as a ``mind that tries too hard,'' and Eeyore, the eternal pessimist. In a clear and crisp voice, Hoff explains the central tenets of Taoism and further illustrates them with familiar excerpts from The House at Pooh Corner stories (1923), Chinese proverbs, maxims, and tales from Lao Tzu and others. The result is at once thought-provoking and charming. This is a small literary event that will leave all who experience it a little more serene. For most collections.-- Jeanne P. Leader, Western Nebraska Community Coll. Lib., Scotts bluff</p>",en,https://images.isbndb.com/covers/74/77/9780140067477.jpg,The Tao of Pooh,1,"Height: 7.23 Inches, Length: 5.1 Inches, Weight: 0.3 Pounds, Width: 0.47 Inches",158.0,1983,,"['Hoff, Benjamin']",The Tao of Pooh,9780140067477,15,Paperback,0140067477,0140067477,,
11,Harcourt,,en,https://images.isbndb.com/covers/76/23/9780156047623.jpg,All the King's Men,1st Harves,"Height: 8 Inches, Length: 1.25 Inches, Weight: 1.05 Pounds, Width: 5.5 Inches",438.0,1982,,"['Warren, Robert Penn']",All the King's Men,9780156047623,11,Paperback,0156047624,0156047624,,
12,Oxford University Press,"Mark P.o. Morford, Robert J. Lenardon. Includes Bibliographical References And Indexes.",en,https://images.isbndb.com/covers/34/46/9780195153446.jpg,Classical Mythology,7,"Height: 7.44 Inches, Length: 9.13 Inches, Weight: 2.8219169536 Pounds, Width: 1.22 Inches",844.0,2002,"['Mythology, Classical', 'BL723 .M67 2003', '292.1/3']","['Morford, Mark P. O.', 'Lenardon, Robert J.']",Classical Mythology,9780195153446,71.95,Paperback,0195153448,0195153448,,
13,Chambers Harrap Publishers Ltd,,en,https://images.isbndb.com/covers/29/54/9780245542954.jpg,Pacific Northwest,,,,1985,,"['Hoefer, Hans Johannes']",Pacific Northwest,9780245542954,0.00,Paperback,0245542957,0245542957,,
14,St Martins Pr,,en,https://images.isbndb.com/covers/26/18/9780312252618.jpg,Fast Women,1,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.5 Pounds, Width: 1.125 Inches",352.0,2001,,"['Crusie, Jennifer']",Fast Women,9780312252618,24.95,Hardcover,0312252617,0312252617,"[{'isbn': '9781429994385', 'binding': 'print'}]",
15,St. Martin's Press,,en,https://images.isbndb.com/covers/15/97/9780312261597.jpg,Female Intelligence,1st,"Height: 9.6 Inches, Length: 6.22 Inches, Weight: 1.35 Pounds, Width: 1.29 Inches",336.0,2001,,"['Heller, Jane']",Female Intelligence,9780312261597,24.95,Hardcover,0312261594,0312261594,,
16,St. Martin's Paperbacks,"<p class=""null1"">One of the great spiritual teachers of our time...</p>
<p>Deepak Chopra's books on human spirituality have been phenomenal international bestsellers. Now, the author of <i>Ageless Body, Timeless Mind, The Seven Spiritual Laws of Success,</i> and <i>the Way of the Wizard</i>, creates an extraordinary fiction series built on his insights into the divine. With gripping storytelling power, <i>The Angel is Near</i> plunges us into a modern, globe-spanning thriller of epic proportions. Instead of guns and bombs, the weapons in this novel are far more powerful: good and evil. And at stake is the very future of humankind.</p>
<p class=""null1"">...Unleashes a saga of courage, terror and revelation</p>
<p>In a burned out village in Kosovo, two soldiers are struck down by a flash of blinding light...In New York state, a doctor runs to help a stricken neighbor, only to be charged with the bloody murder of the man he came to save...In a Nevada laboratory, a cynical scientist analyzes a bizarre life form-and discovers the impossible...All the around the world the fabric of reality is unraveling. Scientists scramble to understand it. Ordinary people confront bizarre, terrifying phenomena. And an American doctor named Michael Aulden stands at ground zero in a war of the body, mind and soul-as humankind must choose between the goodness that has always been ours, or the evil that has found a home on earth...</p>
<p class=""null1"">Deepak Chopra's <i>The Angel Is Near</i></p>",en,https://images.isbndb.com/covers/02/46/9780312970246.jpg,Deepak Chopra's The Angel is Near,,"Height: 6.68 Inches, Length: 4.24 Inches, Weight: 0.4 Pounds, Width: 0.915 Inches",340.0,2000,,"['Chopra, Deepak', 'Greenberg, Martin']",Deepak Chopra's The Angel is Near,9780312970246,1.99,Mass Market Paperback,0312970242,0312970242,,
17,Back Bay Books,"<p>Hailed for its quirkiness and charm, this book tells the story of a New York City lawyer who runs away to a small Etruscan village with his wife and baby and discovers a community of eccentrics who make them feel right at home.</p>",en,https://images.isbndb.com/covers/86/43/9780316748643.jpg,Pasquale's Nose: Idle Days in an Italian Town,1st,"Height: 8 Inches, Length: 5 Inches, Weight: 0.55 Pounds, Width: 0.58 Inches",224.0,2002,,"['Rips, Michael']",Pasquale's Nose: Idle Days in an Italian Town,9780316748643,18.99,Paperback,0316748641,0316748641,,
18,Turtleback Books,"Ever since it was first published in 1951, this novel has been the coming-of-age story against which all others are judged. Read and cherished by generations, the story of Holden Caulfield is truly one of America's literary treasures.

                        <p>Salinger's classic coming-of-age story portrays one young man's funny and poignant experiences with life, love, and sex.
</p>",en,https://images.isbndb.com/covers/94/88/9780316769488.jpg,The Catcher In The Rye (Turtleback School & Library Binding Edition),School & Library ed.,"Height: 6.98 Inches, Length: 3.96 Inches, Weight: 0.39 Pounds, Width: 0.84 Inches",240.0,1991,"['Fictional Works [Publication Type]', 'Caulfield, Holden (Fictitious character)', 'Caulfield, Holden (Fictitious character)--Fiction', 'Runaway teenagers', 'Runaway teenagers--Fiction', 'PS3537.A426 C315 1991', 'BOOK: SGA SAL', '813.5 S 3-8, 1991']",['J. D. Salinger'],The Catcher In The Rye (Turtleback School & Library Binding Edition),9780316769488,5.92,School & Library Binding,0316769487,0316769487,,
19,Back Bay Books,,en,https://images.isbndb.com/covers/37/48/9780316973748.jpg,The Gospel of Judas: A Novel,,"Height: 8.26 Inches, Length: 5.54 Inches, Weight: 0.73 Pounds, Width: 0.99 Inches",352.0,2002,,"['Mawer, Simon']",The Gospel of Judas: A Novel,9780316973748,20.99,Paperback,0316973742,0316973742,,
20,Hodder & Stoughton General Division,,en,https://images.isbndb.com/covers/79/31/9780340767931.jpg,Turning Thirty,,"Height: 1.1811 Inches, Length: 6.06298 Inches, Weight: 1.2786811196 Pounds, Width: 9.17321 Inches",336.0,2000,,"['Gayle, Mike']",Turning Thirty,9780340767931,0.00,Paperback,0340767936,0340767936,,
21,Ballantine Books,,en,https://images.isbndb.com/covers/03/14/9780345260314.jpg,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,,Weight: 0.440924524 Pounds,281.0,1978,,['Carl Sagan'],The Dragons of Eden: Speculations on the Evolution of Human Intelligence,9780345260314,2.25,Mass Market Paperback,0345260317,0345260317,,
22,Ballantine Books,"<p><P>Three passengers are dead. Fifty-six are injured. The interior cabin virtually destroyed. But the pilot manages to land the plane. . . .<P>At a moment when the issue of safety and death in the skies is paramount in the public mind, a lethal midair disaster aboard a commercial twin-jet airliner bound from Hong Kong to Denver triggers a pressured and frantic investigation.<P>AIRFRAME is nonstop reading&#58; the extraordinary mixture of super suspense and authentic information on a subject of compelling interest that has been a Crichton landmark since The Andromeda Strain.</p><h3>Mary Elizabeth Williams</h3><p><P>Internal Memo <P>Time Warner Disney Dreamworks Fox-Murdoch Turner Ventures, Inc. <P>From: Ken Sprenkel, CEO <P>To: Michael Wilson, Senior VP, Production <P>I've just looked at the first galleys of <i>Airframe</i>, and I'm pleased to announce that Mike has gone and done it again. <i>Airframe</i> is going to be the biggest-grossing film of 1998. (The sequel to Mikey's <i>Jurassic Park</i> comes out in '97, right? Har har.) Let's just keep our fingers crossed that the FAA doesn't do anything stupid to step up air safety any time soon - a big disaster, timed to the release of the film, would be <i>boffo</i>. <P>The story's great - a charter airline from Hong Kong (political statement? may need to rework) gets into some fatal turbulence (fatal turbulence! how does Crich come up with them?), and lands with a couple of passengers who've permanently cashed in their frequent flier miles. Of course this happens the same week the plane's American manufacturer is about to close a big sale with China - a sale that might or might not cost those hard-working union Yanks their jobs. What's right? What's wrong? Who's at fault for the disaster? (Don't worry - it isn't too morally ambiguous for the average Joe). <P>I see either Sharon or Michelle in the lead as Casey, the gutsy but feminine quality control investigator. Michael Douglas was born to play the nefarious Norton Aircraft CEO John Marder. We're talking Oscar here. Plus there's meaty roles for the ambitious, backstabbing underling (get McConaughey's agent on the phone TODAY), and the scandal digging TV producer (I think either Gwyneth or Liv here, your thoughts?). <P>Obviously, we'll have to gut those pages and pages of aviation terminology - BOR-ing! Mike can get so heavy-handed with that stuff. Which reminds me, let's try to negotiate him down on the fee for writing the screenplay. I mean, frankly, he's already done it. Read the book, you'll see. If he won't play ball, we'll threaten to get Eszterhas to tweak it. -- <i>Salon</i></p>",en,https://images.isbndb.com/covers/28/75/9780345402875.jpg,Airframe,1,"Height: 6.9 Inches, Length: 4.2 Inches, Weight: 0.47 Pounds, Width: 1.2 Inches",448.0,1997,,['Michael Crichton'],Airframe,9780345402875,7.99,Mass Market Paperback,0345402871,0345402871,,
23,Ballantine Books,"<p><P>Michael Crichton's new novel opens on the threshold of the 21st century. It is a world of exploding advances on the frontiers of technology. Information moves instantly between two points, without wires or networks. Computers are built from single molecules. Any moment of the past can be actualized&#151;and a group of historians can enter, literally, life in 14th century feudal France. <P> Imagine the risks of such a journey. <P> Not since <i>Jurassic Park</i> has Michael Crichton given us such a magnificent adventure. Here, he combines a science of the future -- the emerging field of quantum technology -- with the complex realities of the medieval past. In a heart-stopping narrative, <i>Timeline</i> carries us into a realm of unexpected suspense and danger, overturning our most basic ideas of what is possible.</p><h3>Forbes Magazine</h3><p><I>Timeline</i> is a wonderful combination of fast-paced entertainment and information.</p>",en,https://images.isbndb.com/covers/76/26/9780345417626.jpg,Timeline,,"Height: 6.87 Inches, Length: 4.19 Inches, Weight: 0.54 Pounds, Width: 1.11 Inches",512.0,2000,,['Michael Crichton'],Timeline,9780345417626,7.99,Mass Market Paperback,0345417623,0345417623,"[{'isbn': '9780345469915', 'binding': 'print'}]",
24,Ballantine Books,"Retraces The Journey Of Seabiscuit, A Horse With Crooked Legs And A Pathetic Tail That Made Racing History In 1938, Thanks To The Efforts Of A Trainer, Owner, And Jockey Who Transformed A Bottom-level Racehorse Into A Legend.",en,https://images.isbndb.com/covers/50/85/9780345465085.jpg,Seabiscuit: An American Legend,1st,"Height: 6.89 Inches, Length: 4.17 Inches, Weight: 0.5 Pounds, Width: 1.03 Inches",480.0,2003,,"['Hillenbrand, Laura']",Seabiscuit: An American Legend,9780345465085,0.00,Mass Market Paperback,0345465083,0345465083,,
25,"Farrar, Straus and Giroux",,en,https://images.isbndb.com/covers/70/67/9780374157067.jpg,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,1st,"Height: 8.75 Inches, Length: 5 Inches, Weight: 1.55 Pounds, Width: 0.75 Inches",256.0,1999,,"['Kolata, Gina']",Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,9780374157067,25,Hardcover,0374157065,0374157065,"[{'isbn': '9781429979351', 'binding': 'printisbncanonical'}]",
26,Alfred A. Knopf,,en,https://images.isbndb.com/covers/63/24/9780375406324.jpg,Lying Awake,1st,"Height: 7.79 Inches, Length: 5.52 Inches, Weight: 0.7 Pounds, Width: 0.84 Inches",181.0,2000,,"['Salzman, Mark']",Lying Awake,9780375406324,22,Hardcover,0375406328,0375406328,"[{'isbn': '9781400077755', 'binding': 'print'}]",
27,Knopf,,en,https://images.isbndb.com/covers/05/36/9780375410536.jpg,Anil's Ghost,1st,"Height: 9 Inches, Length: 6.25 Inches, Weight: 1.2 Pounds, Width: 1.25 Inches",311.0,2000,,"['Ondaatje, Michael']",Anil's Ghost,9780375410536,25,Hardcover,0375410538,0375410538,"[{'isbn': '9780375412677', 'binding': 'printisbn'}]",{'ePub': '0375412670'}
28,Random House,"An Account Of The First Year Of George W. Bush's Presidency Explores Key Events, Including His Controversial Election, The September 11th Terrorist Attack And Its Aftermath, And Their Long-term Implications For The United States. Into The Mess -- The Un-clinton -- Warning Light -- Typical Republican -- Like A Fox -- Summer Of Our Discontent -- 9/11 -- Ten Days In September -- Religion Of Peace -- Death In The Air -- Politics Returns -- Axis Of Evil -- Promised Land -- The Right Man. David Frum. Includes Bibliographical References And Index.",en,https://images.isbndb.com/covers/90/32/9780375509032.jpg,"The Right Man: The Surprise Presidency of George W. Bush, An Inside Account",1,"Height: 9.59 Inches, Length: 6.43 Inches, Weight: 1.45 Pounds, Width: 1.35 Inches",320.0,2003,"['Bush, George W. (George Walker) , 1946-', 'Presidents', 'Presidents--United States--Biography', 'Conservatism', 'Conservatism--United States', 'Politics and government', 'E903 .F78 2003', '973.931/092 B']","['Frum, David']","The Right Man: The Surprise Presidency of George W. Bush, An Inside Account",9780375509032,25.95,Hardcover,0375509038,0375509038,"[{'isbn': '9781588362728', 'binding': 'printisbn'}]",{'ePub': '1588362728'}
